day,hour,T_a_C,Majlis_model_C,Majlis_eplus_C,Majlis_mode,Living_model_C,Living_eplus_C,Living_mode,Master_model_C,Master_eplus_C,Master_mode,Bedroom2_model_C,Bedroom2_eplus_C,Bedroom2_mode,Bedroom3_model_C,Bedroom3_eplus_C,Bedroom3_mode,P_total_kW
1,0.00,31.05,24.584,24.564,0,24.619,24.598,0,24.598,24.585,0,24.672,24.739,0,24.672,24.658,0,0.0
1,0.25,30.74,25.104,24.884,0,25.168,25.189,0,25.130,25.088,0,25.262,25.302,0,25.262,25.262,0,0.0
1,0.50,30.45,24.243,24.077,1,24.064,24.225,1,24.012,24.049,1,23.792,23.839,1,23.792,23.715,1,9.0
1,0.75,30.18,23.424,23.137,1,23.022,23.198,1,22.957,23.138,1,22.422,22.467,1,22.422,22.341,1,9.0
1,1.00,29.94,22.645,22.458,1,22.041,22.021,1,23.549,23.677,0,23.132,23.220,0,23.132,23.151,0,3.6
1,1.25,29.72,23.230,23.030,0,22.707,22.735,0,24.084,24.227,0,23.765,23.920,0,23.765,23.666,0,0.0
1,1.50,29.53,23.761,23.658,0,23.309,23.150,0,24.566,24.398,0,24.331,24.412,0,24.331,24.146,0,0.0
1,1.75,29.37,24.244,24.269,0,23.854,23.791,0,25.002,24.713,0,24.837,24.991,0,24.837,24.565,0,0.0
1,2.00,29.24,24.684,24.695,0,24.348,24.256,0,23.807,23.560,1,25.290,25.507,0,25.290,25.113,0,1.8
1,2.25,29.13,25.085,25.142,0,24.797,24.793,0,22.691,22.522,1,23.710,23.845,1,23.710,23.475,1,5.4
1,2.50,29.06,24.128,24.116,1,25.206,25.264,0,23.239,23.059,0,22.254,22.599,1,22.254,21.957,1,5.4
1,2.75,29.01,23.236,23.076,1,23.992,24.138,1,23.745,23.744,0,22.902,23.261,0,22.902,22.722,0,3.6
1,3.00,29.00,22.404,22.453,1,22.868,22.987,1,24.213,24.051,0,23.495,23.767,0,23.495,23.432,0,3.6
1,3.25,29.01,22.957,22.806,0,23.419,23.530,0,24.649,24.532,0,24.040,24.255,0,24.040,24.060,0,0.0
1,3.50,29.06,23.474,23.417,0,23.932,24.316,0,25.057,25.022,0,24.544,24.679,0,24.544,24.503,0,0.0
1,3.75,29.13,23.960,23.797,0,24.412,24.874,0,23.850,23.755,1,25.013,25.128,0,25.013,25.054,0,1.8
1,4.00,29.24,24.420,24.175,0,24.864,25.244,0,22.738,22.443,1,23.464,23.464,1,23.464,23.442,1,5.4
1,4.25,29.37,24.856,24.692,0,25.292,25.779,0,23.306,23.038,0,22.054,22.079,1,22.054,22.052,1,3.6
1,4.50,29.53,25.274,25.272,0,24.110,24.658,1,23.844,23.634,0,22.761,22.686,0,22.761,22.853,0,1.8
1,4.75,29.72,24.350,24.400,1,23.031,23.674,1,24.357,24.165,0,23.425,23.545,0,23.425,23.471,0,3.6
1,5.00,29.94,23.506,23.767,1,22.049,22.641,1,24.849,24.618,0,24.052,24.052,0,24.052,24.078,0,3.6
1,5.25,30.18,22.738,23.165,1,22.749,23.382,0,25.323,25.193,0,24.648,24.420,0,24.648,24.745,0,1.8
1,5.50,30.45,23.368,23.827,0,23.416,23.919,0,24.192,24.004,1,25.216,25.011,0,25.216,25.484,0,1.8
1,5.75,30.74,23.974,24.244,0,24.055,24.455,0,23.163,23.148,1,23.774,23.547,1,23.774,23.977,1,5.4
1,6.00,31.05,24.559,24.816,0,24.670,24.878,0,22.231,22.242,1,22.477,22.156,1,22.477,22.752,1,5.4
1,6.25,31.38,25.127,25.358,0,25.263,25.730,0,22.980,23.022,0,23.302,23.144,0,23.302,23.413,0,0.0
1,6.50,31.74,24.355,24.547,1,24.249,24.708,1,23.701,23.936,0,24.088,23.785,0,24.088,24.292,0,3.6
1,6.75,32.11,23.663,23.915,1,23.339,23.939,1,24.396,24.689,0,24.840,24.572,0,24.840,24.969,0,3.6
1,7.00,32.50,23.046,23.105,1,22.526,23.090,1,25.070,25.311,0,25.562,25.514,0,25.562,25.614,0,3.6
1,7.25,32.90,22.501,22.597,1,23.394,23.710,0,24.134,24.307,1,24.270,24.252,1,24.270,24.403,1,7.2
1,7.50,33.32,23.349,23.631,0,24.229,24.508,0,23.295,23.324,1,23.119,23.147,1,23.119,23.293,1,5.4
1,7.75,33.75,24.167,24.487,0,25.033,25.199,0,22.548,22.702,1,22.099,22.132,1,22.099,22.329,1,5.4
1,8.00,34.19,24.958,25.419,0,24.219,24.443,1,23.476,23.648,0,23.186,23.423,0,23.186,23.418,0,1.8
1,8.25,34.63,25.726,26.100,0,23.501,23.716,1,24.369,24.692,0,24.221,24.445,0,24.221,24.484,0,1.8
1,8.50,35.09,25.146,25.644,1,22.869,23.000,1,25.231,25.326,0,25.207,25.438,0,25.207,25.468,0,3.6
1,8.75,35.54,24.639,25.005,1,23.910,24.134,0,24.473,24.627,1,24.162,24.274,1,24.162,24.451,1,7.2
1,9.00,36.00,24.199,24.502,1,24.907,24.927,0,23.803,23.993,1,23.241,23.338,1,23.241,23.424,1,7.2
1,9.25,36.46,23.822,24.166,1,25.863,25.941,0,23.215,23.320,1,22.434,22.560,1,22.434,22.704,1,7.2
1,9.50,36.91,23.503,23.717,1,25.192,25.309,1,22.701,22.796,1,23.719,24.049,0,23.719,23.767,0,5.4
1,9.75,37.37,23.239,23.525,1,24.605,24.673,1,23.847,23.921,0,24.935,25.414,0,24.935,24.977,0,3.6
1,10.00,37.81,23.024,23.584,1,24.095,24.102,1,24.942,25.049,0,26.087,26.471,0,26.087,26.053,0,3.6
1,10.25,38.25,22.855,23.367,1,23.657,23.629,1,25.990,26.109,0,25.193,25.337,1,25.193,25.372,1,7.2
1,10.50,38.68,24.052,24.491,0,23.284,23.471,1,25.404,25.397,1,24.408,24.566,1,24.408,24.900,1,7.2
1,10.75,39.10,25.195,25.473,0,22.970,22.956,1,24.890,24.821,1,23.722,23.910,1,23.722,24.238,1,7.2
1,11.00,39.50,24.962,25.386,1,24.299,24.256,0,24.442,24.199,1,23.126,23.253,1,23.126,23.720,1,7.2
1,11.25,39.89,24.772,25.216,1,25.559,25.280,0,24.054,23.831,1,22.612,22.860,1,22.612,23.369,1,7.2
1,11.50,40.26,24.621,25.097,1,25.161,24.949,1,23.721,23.380,1,24.158,24.301,0,24.158,24.844,0,5.4
1,11.75,40.62,24.506,25.002,1,24.820,24.700,1,23.437,23.076,1,25.606,25.624,0,25.606,26.142,0,5.4
1,12.00,40.95,24.422,24.712,1,24.530,24.500,1,23.198,22.611,1,24.974,24.958,1,24.974,25.504,1,9.0
1,12.25,41.26,24.366,24.832,1,24.285,24.267,1,22.999,22.584,1,24.420,24.368,1,24.420,24.819,1,9.0
1,12.50,41.55,24.334,24.663,1,24.080,24.250,1,24.425,24.164,0,23.936,23.936,1,23.936,24.644,1,7.2
1,12.75,41.82,24.323,24.615,1,23.911,24.139,1,25.767,25.567,0,23.514,23.493,1,23.514,24.393,1,7.2
1,13.00,42.06,24.330,24.796,1,23.772,23.807,1,25.440,25.215,1,23.147,23.168,1,23.147,24.020,1,9.0
1,13.25,42.28,24.351,24.588,1,23.660,23.416,1,25.153,24.734,1,22.828,22.840,1,22.828,23.603,1,9.0
1,13.50,42.47,24.384,24.644,1,23.571,23.257,1,24.899,24.384,1,24.538,24.355,0,24.538,25.270,0,5.4
1,13.75,42.63,24.426,24.710,1,23.500,23.339,1,24.676,24.302,1,26.121,25.938,0,26.121,26.920,0,5.4
1,14.00,42.76,24.475,24.712,1,23.444,23.219,1,24.478,24.082,1,25.596,25.375,1,25.596,26.089,1,9.0
1,14.25,42.87,24.527,24.762,1,23.401,23.229,1,24.302,23.905,1,25.123,24.856,1,25.123,25.606,1,9.0
1,14.50,42.94,24.581,25.024,1,23.366,23.216,1,24.144,23.729,1,24.696,24.399,1,24.696,25.123,1,9.0
1,14.75,42.99,24.634,24.862,1,23.338,23.187,1,24.000,23.634,1,24.307,24.217,1,24.307,24.790,1,9.0
1,15.00,43.00,24.685,25.030,1,23.313,23.090,1,23.868,23.614,1,23.952,23.761,1,23.952,24.419,1,9.0
1,15.25,42.99,24.731,25.098,1,23.288,22.994,1,23.745,23.743,1,23.624,23.507,1,23.624,23.846,1,9.0
1,15.50,42.94,24.770,25.176,1,23.262,22.948,1,23.627,23.625,1,23.320,23.260,1,23.320,23.561,1,9.0
1,15.75,42.87,24.802,24.891,1,23.232,22.808,1,23.512,23.598,1,23.035,23.105,1,23.035,23.451,1,9.0
1,16.00,42.76,24.824,25.148,1,23.197,22.564,1,23.398,23.563,1,22.765,22.645,1,22.765,23.308,1,9.0
1,16.25,42.63,24.836,25.161,1,23.154,22.446,1,23.283,23.659,1,24.494,24.447,0,24.494,24.785,0,5.4
1,16.50,42.47,24.835,25.168,1,23.103,22.376,1,23.164,23.515,1,26.067,25.980,0,26.067,26.472,0,5.4
1,16.75,42.28,24.821,24.928,1,23.041,22.425,1,23.040,23.562,1,25.507,25.349,1,25.507,25.893,1,9.0
1,17.00,42.06,24.793,24.916,1,22.967,22.329,1,22.910,23.452,1,24.975,24.843,1,24.975,25.224,1,9.0
1,17.25,41.82,24.750,25.099,1,24.471,23.994,0,24.361,24.831,0,24.467,24.287,1,24.467,24.610,1,5.4
1,17.50,41.55,24.691,25.172,1,25.843,25.395,0,25.689,26.164,0,23.979,23.800,1,23.979,24.172,1,5.4
1,17.75,41.26,24.616,25.033,1,25.499,25.189,1,25.310,25.717,1,23.508,23.425,1,23.508,23.751,1,9.0
1,18.00,40.95,24.524,24.884,1,25.158,24.774,1,24.936,25.196,1,23.049,22.904,1,23.049,23.166,1,9.0
1,18.25,40.62,24.416,24.856,1,24.817,24.466,1,24.565,24.977,1,22.601,22.689,1,22.601,22.708,1,9.0
1,18.50,40.26,24.290,24.477,1,24.476,24.113,1,24.195,24.557,1,24.148,24.084,0,24.148,24.218,0,5.4
1,18.75,39.89,24.147,24.354,1,24.132,23.749,1,23.825,24.064,1,25.537,25.407,0,25.537,25.787,0,5.4
1,19.00,39.50,23.987,24.152,1,23.784,23.339,1,23.454,23.626,1,24.791,24.766,1,24.791,24.945,1,9.0
1,19.25,39.10,23.809,24.023,1,23.433,23.120,1,23.080,23.320,1,24.074,24.185,1,24.074,24.154,1,9.0
1,19.50,38.68,23.615,23.960,1,23.076,22.698,1,22.703,22.874,1,23.381,23.596,1,23.381,23.540,1,9.0
