month,hour,T_a_C
January,0.00,19.61
January,0.25,19.36
January,0.50,19.14
January,0.75,18.93
January,1.00,18.74
January,1.25,18.57
January,1.50,18.42
January,1.75,18.29
January,2.00,18.19
January,2.25,18.11
January,2.50,18.05
January,2.75,18.01
January,3.00,18.00
January,3.25,18.01
January,3.50,18.05
January,3.75,18.11
January,4.00,18.19
January,4.25,18.29
January,4.50,18.42
January,4.75,18.57
January,5.00,18.74
January,5.25,18.93
January,5.50,19.14
January,5.75,19.36
January,6.00,19.61
January,6.25,19.87
January,6.50,20.15
January,6.75,20.44
January,7.00,20.75
January,7.25,21.07
January,7.50,21.40
January,7.75,21.73
January,8.00,22.08
January,8.25,22.43
January,8.50,22.78
January,8.75,23.14
January,9.00,23.50
January,9.25,23.86
January,9.50,24.22
January,9.75,24.57
January,10.00,24.92
January,10.25,25.27
January,10.50,25.60
January,10.75,25.93
January,11.00,26.25
January,11.25,26.56
January,11.50,26.85
January,11.75,27.13
January,12.00,27.39
January,12.25,27.64
January,12.50,27.86
January,12.75,28.07
January,13.00,28.26
January,13.25,28.43
January,13.50,28.58
January,13.75,28.71
January,14.00,28.81
January,14.25,28.89
January,14.50,28.95
January,14.75,28.99
January,15.00,29.00
January,15.25,28.99
January,15.50,28.95
January,15.75,28.89
January,16.00,28.81
January,16.25,28.71
January,16.50,28.58
January,16.75,28.43
January,17.00,28.26
January,17.25,28.07
January,17.50,27.86
January,17.75,27.64
January,18.00,27.39
January,18.25,27.13
January,18.50,26.85
January,18.75,26.56
January,19.00,26.25
January,19.25,25.93
January,19.50,25.60
January,19.75,25.27
January,20.00,24.92
January,20.25,24.57
January,20.50,24.22
January,20.75,23.86
January,21.00,23.50
January,21.25,23.14
January,21.50,22.78
January,21.75,22.43
January,22.00,22.08
January,22.25,21.73
January,22.50,21.40
January,22.75,21.07
January,23.00,20.75
January,23.25,20.44
January,23.50,20.15
January,23.75,19.87
April,0.00,24.76
April,0.25,24.49
April,0.50,24.24
April,0.75,24.01
April,1.00,23.80
April,1.25,23.62
April,1.50,23.46
April,1.75,23.32
April,2.00,23.20
April,2.25,23.12
April,2.50,23.05
April,2.75,23.01
April,3.00,23.00
April,3.25,23.01
April,3.50,23.05
April,3.75,23.12
April,4.00,23.20
April,4.25,23.32
April,4.50,23.46
April,4.75,23.62
April,5.00,23.80
April,5.25,24.01
April,5.50,24.24
April,5.75,24.49
April,6.00,24.76
April,6.25,25.04
April,6.50,25.35
April,6.75,25.67
April,7.00,26.00
April,7.25,26.35
April,7.50,26.70
April,7.75,27.07
April,8.00,27.45
April,8.25,27.83
April,8.50,28.22
April,8.75,28.61
April,9.00,29.00
April,9.25,29.39
April,9.50,29.78
April,9.75,30.17
April,10.00,30.55
April,10.25,30.93
