month,hour,T_a_C
January,0.00,11.00
January,0.25,11.35
January,0.50,11.70
January,0.75,12.07
January,1.00,12.45
January,1.25,12.83
January,1.50,13.22
January,1.75,13.61
January,2.00,14.00
January,2.25,14.39
January,2.50,14.78
January,2.75,15.17
January,3.00,15.55
January,3.25,15.93
January,3.50,16.30
January,3.75,16.65
January,4.00,17.00
January,4.25,17.33
January,4.50,17.65
January,4.75,17.96
January,5.00,18.24
January,5.25,18.51
January,5.50,18.76
January,5.75,18.99
January,6.00,19.20
January,6.25,19.38
January,6.50,19.54
January,6.75,19.68
January,7.00,19.80
January,7.25,19.88
January,7.50,19.95
January,7.75,19.99
January,8.00,20.00
January,8.25,19.99
January,8.50,19.95
January,8.75,19.88
January,9.00,19.80
January,9.25,19.68
January,9.50,19.54
January,9.75,19.38
January,10.00,19.20
January,10.25,18.99
January,10.50,18.76
January,10.75,18.51
January,11.00,18.24
January,11.25,17.96
January,11.50,17.65
January,11.75,17.33
January,12.00,17.00
January,12.25,16.65
January,12.50,16.30
January,12.75,15.93
January,13.00,15.55
January,13.25,15.17
January,13.50,14.78
January,13.75,14.39
January,14.00,14.00
January,14.25,13.61
January,14.50,13.22
January,14.75,12.83
January,15.00,12.45
January,15.25,12.07
January,15.50,11.70
January,15.75,11.35
January,16.00,11.00
January,16.25,10.67
January,16.50,10.35
January,16.75,10.04
January,17.00,9.76
January,17.25,9.49
January,17.50,9.24
January,17.75,9.01
January,18.00,8.80
January,18.25,8.62
January,18.50,8.46
January,18.75,8.32
January,19.00,8.20
January,19.25,8.12
January,19.50,8.05
January,19.75,8.01
January,20.00,8.00
January,20.25,8.01
January,20.50,8.05
January,20.75,8.12
January,21.00,8.20
January,21.25,8.32
January,21.50,8.46
January,21.75,8.62
January,22.00,8.80
January,22.25,9.01
January,22.50,9.24
January,22.75,9.49
January,23.00,9.76
January,23.25,10.04
January,23.50,10.35
January,23.75,10.67
April,0.00,23.50
April,0.25,23.90
April,0.50,24.32
April,0.75,24.75
April,1.00,25.19
April,1.25,25.63
April,1.50,26.09
April,1.75,26.54
April,2.00,27.00
April,2.25,27.46
April,2.50,27.91
April,2.75,28.37
April,3.00,28.81
April,3.25,29.25
April,3.50,29.68
April,3.75,30.10
April,4.00,30.50
April,4.25,30.89
April,4.50,31.26
April,4.75,31.62
April,5.00,31.95
April,5.25,32.26
April,5.50,32.55
April,5.75,32.82
April,6.00,33.06
April,6.25,33.28
April,6.50,33.47
April,6.75,33.63
April,7.00,33.76
April,7.25,33.87
April,7.50,33.94
April,7.75,33.99
April,8.00,34.00
April,8.25,33.99
April,8.50,33.94
April,8.75,33.87
April,9.00,33.76
April,9.25,33.63
April,9.50,33.47
April,9.75,33.28
April,10.00,33.06
April,10.25,32.82
April,10.50,32.55
April,10.75,32.26
April,11.00,31.95
April,11.25,31.62
April,11.50,31.26
April,11.75,30.89
April,12.00,30.50
April,12.25,30.10
April,12.50,29.68
April,12.75,29.25
April,13.00,28.81
April,13.25,28.37
April,13.50,27.91
April,13.75,27.46
April,14.00,27.00
April,14.25,26.54
April,14.50,26.09
April,14.75,25.63
April,15.00,25.19
April,15.25,24.75
April,15.50,24.32
April,15.75,23.90
April,16.00,23.50
April,16.25,23.11
April,16.50,22.74
April,16.75,22.38
April,17.00,22.05
April,17.25,21.74
April,17.50,21.45
April,17.75,21.18
April,18.00,20.94
April,18.25,20.72
April,18.50,20.53
April,18.75,20.37
April,19.00,20.24
April,19.25,20.13
April,19.50,20.06
April,19.75,20.01
April,20.00,20.00
April,20.25,20.01
April,20.50,20.06
April,20.75,20.13
April,21.00,20.24
April,21.25,20.37
April,21.50,20.53
April,21.75,20.72
April,22.00,20.94
April,22.25,21.18
April,22.50,21.45
April,22.75,21.74
April,23.00,22.05
April,23.25,22.38
April,23.50,22.74
April,23.75,23.11
July,0.00,32.00
July,0.25,32.46
July,0.50,32.94
July,0.75,33.43
July,1.00,33.93
July,1.25,34.44
July,1.50,34.96
July,1.75,35.48
