sample_id,T_a_C,K_i_kWK,C_i_kJK,l_C,h_C,d_i,Q_i_star_kW,k_star_5zone
0,38.69,0.274,3163,23.0,25.0,0.7647,4.053,4
1,32.43,0.212,3558,22.0,26.0,0.3136,1.662,2
2,25.54,0.317,3207,22.0,26.0,0.0288,0.153,1
3,38.10,0.343,3157,22.0,26.0,0.8401,4.452,5
4,20.88,0.260,2271,23.0,25.0,0.0000,0.000,0
5,27.74,0.326,2657,23.0,25.0,0.2251,1.193,2
6,33.97,0.264,2834,23.0,25.0,0.5034,2.668,3
7,38.69,0.198,3950,23.0,25.0,0.5669,3.005,3
8,30.32,0.187,2921,23.0,25.0,0.2448,1.298,2
9,21.08,0.348,3117,23.0,25.0,0.0000,0.000,0
10,24.62,0.216,2690,23.0,25.0,0.0412,0.218,1
11,25.69,0.336,2782,22.0,26.0,0.0372,0.197,1
12,37.29,0.331,3943,23.0,25.0,0.8248,4.371,5
13,28.22,0.220,2085,22.0,26.0,0.1490,0.790,1
14,41.73,0.271,3310,23.0,25.0,0.9131,4.839,5
15,19.33,0.297,3099,23.0,25.0,0.0000,0.000,0
16,45.79,0.263,4181,22.0,26.0,1.0000,5.300,5
17,44.62,0.197,3009,23.0,25.0,0.7861,4.166,4
18,45.74,0.227,2825,22.0,26.0,0.9030,4.786,5
19,46.04,0.308,3135,23.0,25.0,1.0000,5.300,5
20,18.81,0.197,3305,23.0,25.0,0.0000,0.000,0
21,38.02,0.213,3774,23.0,25.0,0.5792,3.070,3
22,40.12,0.305,2270,23.0,25.0,0.9256,4.906,5
23,23.93,0.230,1947,22.0,26.0,0.0000,0.000,0
24,24.77,0.203,2083,23.0,25.0,0.0478,0.253,1
25,29.00,0.309,3627,22.0,26.0,0.2313,1.226,2
26,22.62,0.191,3963,22.0,26.0,0.0000,0.000,0
27,29.34,0.209,1884,23.0,25.0,0.2280,1.208,2
28,38.53,0.332,2060,23.0,25.0,0.9038,4.790,5
29,24.35,0.206,2060,23.0,25.0,0.0315,0.167,1
30,38.99,0.208,3513,22.0,26.0,0.5670,3.005,3
31,44.59,0.207,4193,23.0,25.0,0.8209,4.351,5
32,46.61,0.252,3266,22.0,26.0,1.0000,5.300,5
33,26.38,0.224,2314,23.0,25.0,0.1148,0.608,1
34,23.89,0.230,3654,22.0,26.0,0.0000,0.000,0
35,45.82,0.329,2077,23.0,25.0,1.0000,5.300,5
36,45.02,0.219,3481,23.0,25.0,0.8843,4.687,5
37,34.80,0.247,3359,23.0,25.0,0.5136,2.722,3
38,19.58,0.211,3902,23.0,25.0,0.0000,0.000,0
39,25.21,0.189,3860,23.0,25.0,0.0642,0.340,1
40,25.24,0.274,2614,23.0,25.0,0.0693,0.367,1
41,25.79,0.236,2127,23.0,25.0,0.0918,0.487,1
42,19.32,0.263,3811,23.0,25.0,0.0000,0.000,0
43,42.09,0.217,3327,23.0,25.0,0.7577,4.016,4
44,36.75,0.192,3530,23.0,25.0,0.4824,2.557,3
45,40.13,0.235,2195,22.0,26.0,0.6825,3.617,4
46,47.78,0.237,1879,23.0,25.0,1.0000,5.300,5
47,41.40,0.312,3458,23.0,25.0,1.0000,5.300,5
48,20.51,0.208,3581,23.0,25.0,0.0000,0.000,0
49,20.48,0.212,4087,23.0,25.0,0.0000,0.000,0
50,31.17,0.332,3354,23.0,25.0,0.4431,2.348,3
51,41.62,0.307,3252,23.0,25.0,1.0000,5.300,5
52,47.65,0.233,3413,22.0,26.0,1.0000,5.300,5
53,40.58,0.224,2004,23.0,25.0,0.7159,3.794,4
54,36.01,0.278,2944,22.0,26.0,0.5817,3.083,3
55,33.67,0.311,2161,22.0,26.0,0.5058,2.681,3
56,33.04,0.314,2554,22.0,26.0,0.4739,2.511,3
57,19.21,0.254,1863,23.0,25.0,0.0000,0.000,0
58,18.08,0.224,2389,22.0,26.0,0.0000,0.000,0
59,37.10,0.195,3537,22.0,26.0,0.4652,2.465,3
60,33.90,0.249,3151,23.0,25.0,0.4746,2.515,3
61,30.39,0.316,3028,22.0,26.0,0.3180,1.685,2
62,29.09,0.188,2544,23.0,25.0,0.2018,1.070,2
63,41.55,0.244,1900,23.0,25.0,0.8181,4.336,5
64,36.75,0.189,2299,22.0,26.0,0.4400,2.332,3
65,36.06,0.284,2904,22.0,26.0,0.5966,3.162,3
66,41.60,0.183,3299,23.0,25.0,0.6293,3.335,4
67,21.77,0.190,3725,23.0,25.0,0.0000,0.000,0
68,43.96,0.223,3069,23.0,25.0,0.8542,4.527,5
69,25.85,0.305,4109,23.0,25.0,0.1054,0.558,1
70,34.42,0.261,3913,23.0,25.0,0.5199,2.755,3
71,33.47,0.244,3633,23.0,25.0,0.4470,2.369,3
72,29.99,0.221,3415,23.0,25.0,0.2649,1.404,2
73,38.90,0.285,2508,23.0,25.0,0.8047,4.265,5
74,33.65,0.290,3401,22.0,26.0,0.4748,2.517,3
75,30.23,0.207,2383,22.0,26.0,0.2218,1.175,2
76,40.69,0.202,3533,22.0,26.0,0.6172,3.271,4
77,24.42,0.233,3668,23.0,25.0,0.0310,0.164,1
78,31.86,0.187,2736,22.0,26.0,0.2633,1.395,2
79,22.70,0.341,2697,22.0,26.0,0.0000,0.000,0
80,43.99,0.187,2768,23.0,25.0,0.7273,3.854,4
81,39.63,0.243,3104,23.0,25.0,0.7268,3.852,4
82,26.81,0.343,3987,23.0,25.0,0.1741,0.923,1
83,38.06,0.260,2539,22.0,26.0,0.6479,3.434,4
84,43.89,0.267,4104,23.0,25.0,1.0000,5.300,5
85,41.16,0.304,2684,23.0,25.0,0.9843,5.217,5
86,42.91,0.227,3541,23.0,25.0,0.8232,4.363,5
87,31.97,0.321,1948,22.0,26.0,0.4187,2.219,3
88,19.13,0.297,1938,22.0,26.0,0.0000,0.000,0
89,25.16,0.336,2301,22.0,26.0,0.0037,0.019,1
90,23.83,0.269,3209,23.0,25.0,0.0000,0.000,0
91,29.84,0.218,2139,23.0,25.0,0.2555,1.354,2
92,20.70,0.301,2891,22.0,26.0,0.0000,0.000,0
93,39.64,0.314,3107,23.0,25.0,0.9234,4.894,5
94,25.23,0.196,3429,22.0,26.0,0.0283,0.150,1
95,24.50,0.249,2575,23.0,25.0,0.0333,0.176,1
96,19.18,0.249,1883,23.0,25.0,0.0000,0.000,0
97,46.69,0.336,3269,22.0,26.0,1.0000,5.300,5
98,40.75,0.236,2734,22.0,26.0,0.7126,3.777,4
99,46.82,0.326,3669,23.0,25.0,1.0000,5.300,5
100,18.32,0.211,3769,23.0,25.0,0.0000,0.000,0
101,35.58,0.237,2796,23.0,25.0,0.5296,2.807,3
