month,hour,T_a_C
January,0.00,8.50
January,0.25,8.90
January,0.50,9.32
January,0.75,9.75
January,1.00,10.19
January,1.25,10.63
January,1.50,11.09
January,1.75,11.54
January,2.00,12.00
January,2.25,12.46
January,2.50,12.91
January,2.75,13.37
January,3.00,13.81
January,3.25,14.25
January,3.50,14.68
January,3.75,15.10
January,4.00,15.50
January,4.25,15.89
January,4.50,16.26
January,4.75,16.62
January,5.00,16.95
January,5.25,17.26
January,5.50,17.55
January,5.75,17.82
January,6.00,18.06
January,6.25,18.28
January,6.50,18.47
January,6.75,18.63
January,7.00,18.76
January,7.25,18.87
January,7.50,18.94
January,7.75,18.99
January,8.00,19.00
January,8.25,18.99
January,8.50,18.94
January,8.75,18.87
January,9.00,18.76
January,9.25,18.63
January,9.50,18.47
January,9.75,18.28
January,10.00,18.06
January,10.25,17.82
January,10.50,17.55
January,10.75,17.26
January,11.00,16.95
January,11.25,16.62
January,11.50,16.26
January,11.75,15.89
January,12.00,15.50
January,12.25,15.10
January,12.50,14.68
January,12.75,14.25
January,13.00,13.81
January,13.25,13.37
January,13.50,12.91
January,13.75,12.46
January,14.00,12.00
January,14.25,11.54
January,14.50,11.09
January,14.75,10.63
January,15.00,10.19
January,15.25,9.75
January,15.50,9.32
January,15.75,8.90
January,16.00,8.50
January,16.25,8.11
January,16.50,7.74
January,16.75,7.38
January,17.00,7.05
January,17.25,6.74
January,17.50,6.45
January,17.75,6.18
January,18.00,5.94
January,18.25,5.72
January,18.50,5.53
January,18.75,5.37
January,19.00,5.24
January,19.25,5.13
January,19.50,5.06
January,19.75,5.01
January,20.00,5.00
January,20.25,5.01
January,20.50,5.06
January,20.75,5.13
January,21.00,5.24
January,21.25,5.37
January,21.50,5.53
January,21.75,5.72
January,22.00,5.94
January,22.25,6.18
January,22.50,6.45
January,22.75,6.74
January,23.00,7.05
January,23.25,7.38
January,23.50,7.74
January,23.75,8.11
April,0.00,17.50
April,0.25,17.90
April,0.50,18.32
April,0.75,18.75
April,1.00,19.19
April,1.25,19.63
April,1.50,20.09
April,1.75,20.54
April,2.00,21.00
April,2.25,21.46
April,2.50,21.91
April,2.75,22.37
April,3.00,22.81
April,3.25,23.25
April,3.50,23.68
April,3.75,24.10
April,4.00,24.50
April,4.25,24.89
April,4.50,25.26
April,4.75,25.62
April,5.00,25.95
April,5.25,26.26
April,5.50,26.55
April,5.75,26.82
April,6.00,27.06
April,6.25,27.28
April,6.50,27.47
April,6.75,27.63
April,7.00,27.76
April,7.25,27.87
April,7.50,27.94
April,7.75,27.99
April,8.00,28.00
April,8.25,27.99
April,8.50,27.94
April,8.75,27.87
April,9.00,27.76
April,9.25,27.63
April,9.50,27.47
April,9.75,27.28
April,10.00,27.06
April,10.25,26.82
April,10.50,26.55
April,10.75,26.26
April,11.00,25.95
April,11.25,25.62
April,11.50,25.26
April,11.75,24.89
April,12.00,24.50
April,12.25,24.10
April,12.50,23.68
April,12.75,23.25
April,13.00,22.81
April,13.25,22.37
April,13.50,21.91
April,13.75,21.46
April,14.00,21.00
April,14.25,20.54
April,14.50,20.09
April,14.75,19.63
April,15.00,19.19
April,15.25,18.75
April,15.50,18.32
April,15.75,17.90
April,16.00,17.50
April,16.25,17.11
April,16.50,16.74
April,16.75,16.38
April,17.00,16.05
April,17.25,15.74
April,17.50,15.45
April,17.75,15.18
April,18.00,14.94
April,18.25,14.72
April,18.50,14.53
April,18.75,14.37
April,19.00,14.24
April,19.25,14.13
April,19.50,14.06
April,19.75,14.01
April,20.00,14.00
April,20.25,14.01
April,20.50,14.06
April,20.75,14.13
April,21.00,14.24
April,21.25,14.37
April,21.50,14.53
April,21.75,14.72
April,22.00,14.94
April,22.25,15.18
April,22.50,15.45
April,22.75,15.74
April,23.00,16.05
April,23.25,16.38
April,23.50,16.74
April,23.75,17.11
July,0.00,23.25
July,0.25,23.63
July,0.50,24.01
July,0.75,24.41
July,1.00,24.82
July,1.25,25.23
July,1.50,25.65
July,1.75,26.07
July,2.00,26.50
July,2.25,26.93
July,2.50,27.35
July,2.75,27.77
July,3.00,28.18
July,3.25,28.59
July,3.50,28.99
July,3.75,29.37
July,4.00,29.75
July,4.25,30.11
July,4.50,30.46
July,4.75,30.79
July,5.00,31.10
July,5.25,31.39
July,5.50,31.66
July,5.75,31.90
July,6.00,32.13
July,6.25,32.33
July,6.50,32.51
July,6.75,32.66
July,7.00,32.78
July,7.25,32.88
July,7.50,32.94
July,7.75,32.99
July,8.00,33.00
July,8.25,32.99
July,8.50,32.94
July,8.75,32.88
July,9.00,32.78
July,9.25,32.66
July,9.50,32.51
July,9.75,32.33
July,10.00,32.13
July,10.25,31.90
July,10.50,31.66
July,10.75,31.39
July,11.00,31.10
July,11.25,30.79
July,11.50,30.46
July,11.75,30.11
July,12.00,29.75
July,12.25,29.37
July,12.50,28.99
July,12.75,28.59
July,13.00,28.18
July,13.25,27.77
July,13.50,27.35
July,13.75,26.93
July,14.00,26.50
July,14.25,26.07
July,14.50,25.65
July,14.75,25.23
July,15.00,24.82
July,15.25,24.41
July,15.50,24.01
July,15.75,23.63
July,16.00,23.25
July,16.25,22.89
July,16.50,22.54
July,16.75,22.21
July,17.00,21.90
July,17.25,21.61
July,17.50,21.34
July,17.75,21.10
July,18.00,20.87
July,18.25,20.67
July,18.50,20.49
July,18.75,20.34
July,19.00,20.22
July,19.25,20.12
July,19.50,20.06
July,19.75,20.01
July,20.00,20.00
July,20.25,20.01
July,20.50,20.06
July,20.75,20.12
July,21.00,20.22
July,21.25,20.34
July,21.50,20.49
July,21.75,20.67
July,22.00,20.87
July,22.25,21.10
July,22.50,21.34
July,22.75,21.61
July,23.00,21.90
July,23.25,22.21
July,23.50,22.54
July,23.75,22.89
October,0.00,16.75
October,0.25,17.18
October,0.50,17.63
October,0.75,18.09
October,1.00,18.56
October,1.25,19.04
October,1.50,19.52
October,1.75,20.01
October,2.00,20.50
October,2.25,20.99
October,2.50,21.48
October,2.75,21.96
October,3.00,22.44
October,3.25,22.91
October,3.50,23.37
October,3.75,23.82
October,4.00,24.25
October,4.25,24.67
October,4.50,25.07
October,4.75,25.45
October,5.00,25.80
October,5.25,26.14
October,5.50,26.45
October,5.75,26.74
October,6.00,27.00
October,6.25,27.23
October,6.50,27.43
October,6.75,27.60
October,7.00,27.74
October,7.25,27.86
October,7.50,27.94
October,7.75,27.98
October,8.00,28.00
October,8.25,27.98
October,8.50,27.94
October,8.75,27.86
October,9.00,27.74
October,9.25,27.60
October,9.50,27.43
October,9.75,27.23
October,10.00,27.00
October,10.25,26.74
October,10.50,26.45
October,10.75,26.14
October,11.00,25.80
October,11.25,25.45
October,11.50,25.07
October,11.75,24.67
October,12.00,24.25
October,12.25,23.82
October,12.50,23.37
October,12.75,22.91
October,13.00,22.44
October,13.25,21.96
October,13.50,21.48
October,13.75,20.99
October,14.00,20.50
October,14.25,20.01
October,14.50,19.52
October,14.75,19.04
October,15.00,18.56
October,15.25,18.09
October,15.50,17.63
October,15.75,17.18
October,16.00,16.75
October,16.25,16.33
October,16.50,15.93
October,16.75,15.55
October,17.00,15.20
October,17.25,14.86
October,17.50,14.55
October,17.75,14.26
October,18.00,14.00
October,18.25,13.77
October,18.50,13.57
October,18.75,13.40
October,19.00,13.26
October,19.25,13.14
October,19.50,13.06
October,19.75,13.02
October,20.00,13.00
October,20.25,13.02
October,20.50,13.06
October,20.75,13.14
October,21.00,13.26
October,21.25,13.40
October,21.50,13.57
October,21.75,13.77
October,22.00,14.00
October,22.25,14.26
October,22.50,14.55
October,22.75,14.86
October,23.00,15.20
October,23.25,15.55
October,23.50,15.93
October,23.75,16.33
