# Table 2 (paper): 5-zone villa, strict [23-25C], AC-only, 30-day billing cycles
month,method,bill_SAR,reduction_pct,E_tot_kWh,P_peak_kW,violation_degC
Jan,On-Off,94,0.0,520,9.0,0.00
Jan,GS (lazy),86,8.5,480,5.4,0.00
Jan,PI-PPO,83,11.7,460,3.6,0.00
Apr,On-Off,409,0.0,2270,9.0,0.00
Apr,GS (lazy),355,13.2,1970,5.4,0.00
Apr,PI-PPO,328,19.8,1820,5.4,0.00
Jul,On-Off,711,0.0,3950,9.0,0.00
Jul,GS (lazy),621,12.7,3450,5.4,0.00
Jul,PI-PPO,551,22.5,3060,5.4,0.00
Oct,On-Off,490,0.0,2720,9.0,0.00
Oct,GS (lazy),425,13.3,2360,5.4,0.00
Oct,PI-PPO,392,20.0,2180,5.4,0.00
