# Table 3 (paper): 20-zone compound, strict [23-25C], AC-only, 30-day billing cycles
month,method,bill_SAR,reduction_pct,E_tot_kWh,P_peak_kW,violation_degC
Jan,On-Off,374,0.0,2080,36.0,0.00
Jan,GS (lazy),344,8.0,1910,21.6,0.00
Jan,PI-PPO,329,12.0,1830,7.2,0.00
Apr,On-Off,2004,0.0,9080,36.0,0.00
Apr,GS (lazy),1683,16.0,8010,21.6,0.00
Apr,PI-PPO,1463,27.0,7280,18.0,0.00
Jul,On-Off,4020,0.0,15800,36.0,0.00
Jul,GS (lazy),3176,21.0,13000,21.6,0.00
Jul,PI-PPO,2693,33.0,11380,18.0,0.02
Oct,On-Off,2544,0.0,10880,36.0,0.00
Oct,GS (lazy),2150,15.5,9570,21.6,0.00
Oct,PI-PPO,1883,26.0,8680,18.0,0.00
