# Table 5 (paper): PI-PPO (coupled) strict [23-25C] vs extended [22-26C], all months
scale,month,range,bill_SAR,reduction_pct,P_peak_kW,k
5z,Jan,strict,83,11.7,3.6,3
5z,Jan,extended,77,18.1,3.6,2
5z,Apr,strict,328,19.8,5.4,3
5z,Apr,extended,288,29.6,3.6,2
5z,Jul,strict,551,22.5,5.4,3
5z,Jul,extended,484,31.9,3.6,2
5z,Oct,strict,392,20.0,5.4,3
5z,Oct,extended,346,29.4,3.6,2
20z,Jan,strict,329,12.0,7.2,10
20z,Jan,extended,307,17.9,7.2,7
20z,Apr,strict,1463,27.0,18.0,10
20z,Apr,extended,1242,38.0,12.6,7
20z,Jul,strict,2693,33.0,18.0,10
20z,Jul,extended,2131,47.0,12.6,7
20z,Oct,strict,1883,26.0,18.0,10
20z,Oct,extended,1603,37.0,12.6,7
