Scale,Month,Range,Bill_SAR,Reduction_pct,P_peak_kW,k
5z,Jan,Strict,83,11.7,3.6,3
5z,Jan,Extended,77,18.1,3.6,2
5z,Apr,Strict,328,19.8,5.4,3
5z,Apr,Extended,288,29.6,3.6,2
5z,Jul,Strict,551,22.5,5.4,3
5z,Jul,Extended,484,31.9,3.6,2
5z,Oct,Strict,392,20.0,5.4,3
5z,Oct,Extended,346,29.4,3.6,2
20z,Jan,Strict,329,12.0,7.2,10
20z,Jan,Extended,307,17.9,7.2,7
20z,Apr,Strict,1464,26.9,18.0,10
20z,Apr,Extended,1242,38.0,12.6,7
20z,Jul,Strict,2694,33.0,18.0,10
20z,Jul,Extended,2131,47.0,12.6,7
20z,Oct,Strict,1884,25.9,18.0,10
20z,Oct,Extended,1603,37.0,12.6,7
